keys,en,es
MENU_CARD_HUNTER,Card Hunter,Card Hunter
MENU_NEW_GAME,New Game,Nueva Partida
MENU_CONTINUE,Continue,Continuar
MENU_CARDPEDIUM,Cardpedium,Cardpedium
MENU_SETTINGS,Settings,Ajustes
MENU_CREDITS,Credits,Créditos
MENU_EXIT,Exit,Salir
MENU_DELETE_SAVE,Delete Save,Borrar Guardado
SETTINGS_TITLE,Settings,Ajustes
SETTINGS_VOLUME,Volume,Volumen
SETTINGS_LANGUAGE,Language,Idioma
BTN_SAVE,Save,Guardar
BTN_BACK,Back,Volver
BTN_EXIT_GAME,Exit Game,Salir del Juego
BTN_CONTINUE,Continue,Continuar
BTN_EXIT,Exit,Salir
BTN_FORGE_CARD,Forge Card,Forjar Carta
BTN_DEFORGE,Deforge,Desforjar
UI_DAYS_TILL_ATTACK,Days till next attack: {0},Días hasta el próximo ataque: {0}
UI_PICK_YOUR_WEAPON,Pick your weapon,Elige tu arma
UI_CARD_FORGE,Card Forge,Forja de Cartas
UI_DEFORGE_CARD,Deforge Card,Desforjar Carta
UI_AVAILABLE_CARD_MODULES,Available Card Modules,Módulos de Carta Disponibles
UI_MODULES_COUNT,Modules: {0}/{1},Módulos: {0}/{1}
UI_TITLE_LENGTH,Title: {0}/{1} characters,Título: {0}/{1} caracteres
UI_CHOOSE_REWARD,Choose 1 reward,Elige 1 recompensa
UI_YOU_WIN,You Win,¡Ganaste!
UI_GAME_OVER,Game Over,Fin del Juego
UI_IN_DEVELOPMENT,In development,En desarrollo
CARD_SLICE_TITLE,Slice,Corte
CARD_SLICE_DESC,Slice at the monster at close range. Deal 15 damage.,Corta al monstruo a corta distancia. Inflige 15 de daño.
CARD_BACK_STAB_TITLE,Back Stab,Puñalada por la Espalda
CARD_BACK_STAB_DESC,"Deal 5 damage.\nOn Back attacked: Deal another 10, and recover 5 stamina.","Inflige 5 de daño.\nAl atacar por la espalda: Inflige otros 10 y recupera 5 de energía."
CARD_HEAD_ON_TITLE,Head On,De Frente
CARD_HEAD_ON_DESC,"Deal 10 damage.\nOn Head hit move up to your speed.","Inflige 10 de daño.\nAl golpear la cabeza, muévete hasta tu velocidad."
CARD_MOVE_TITLE,Move,Mover
CARD_MOVE_DESC,Move 1 tile in any direction.,Muévete 1 casilla en cualquier dirección.
CARD_DASH_TITLE,Dash,Embestida
CARD_DASH_DESC,Dash up to 2 tiles away in a cross shape.,Embiste hasta 2 casillas en forma de cruz.
CARD_HEALTH_POTION_TITLE,Health Potion,Poción de Salud
CARD_HEALTH_POTION_DESC,"Drink a health potion and recover 50 hp.\nOne use.","Bebe una poción de salud y recupera 50 HP.\nUn solo uso."
CARD_HEALING_SALVE_TITLE,Healing Salve,Ungüento Curativo
CARD_HEALING_SALVE_DESC,"Remove all status conditions & heal 10hp.\nOne use.","Elimina todas las condiciones de estado y cura 10 HP.\nUn solo uso."
CARD_BREATHE_TITLE,Breathe,Respirar
CARD_BREATHE_DESC,Take a moment to breathe. Recover 15 points of stamina.,Tómate un momento para respirar. Recupera 15 puntos de energía.
CARD_TWICE_THE_FUN_TITLE,Twice The Fun,Doble Diversión
CARD_TWICE_THE_FUN_DESC,For the next two turns move twice as far.,Durante los próximos dos turnos muévete el doble de lejos.
CARD_BASIC_ARROW_TITLE,Basic Arrow,Flecha Básica
CARD_BASIC_ARROW_DESC,Shoot an arrow. Deal 10 damage.,Dispara una flecha. Inflige 10 de daño.
CARD_LONG_SLICE_TITLE,Long Slice,Corte Largo
CARD_LONG_SLICE_DESC,Do a long slash. Deal 25 damage.,Realiza un corte largo. Inflige 25 de daño.
CARD_SNEAK_ATTACK_TITLE,Sneak Attack,Ataque Furtivo
CARD_SNEAK_ATTACK_DESC,"Deal 10 damage\nOn Discard: Draw 1 Card","Inflige 10 de daño\nAl descartar: Roba 1 carta"
CARD_PUSH_TITLE,Push,Empujar
CARD_PUSH_DESC,Push the monster 1 tile away.,Empuja al monstruo 1 casilla.
CARD_ROPE_TRICK_TITLE,Rope trick,Truco de Cuerda
CARD_ROPE_TRICK_DESC,Pull a monster 1 tile in your direction.,Atrae a un monstruo 1 casilla hacia ti.
CARD_TELEPORT_TITLE,Teleport,Teletransporte
CARD_TELEPORT_DESC,Teleport to any square on the map,Teletranspórtate a cualquier casilla del mapa
CARD_CRAB_WALK_TITLE,Crab Walk,Paso de Cangrejo
CARD_CRAB_WALK_DESC,Embrace the crab. Move diagonally up to 2 tiles away.,Abraza al cangrejo. Muévete diagonalmente hasta 2 casillas.
CARD_RUN_AWAY_TITLE,Run Away,Huir
CARD_RUN_AWAY_DESC,"Move 1 tile away.\nBefore you can play this card you must discard a card.","Muévete 1 casilla.\nAntes de jugar esta carta debes descartar una carta."
CARD_WEB_TRAP_TITLE,Web Trap,Trampa de Telaraña
CARD_WEB_TRAP_DESC,"Place a web trap on an adjacent tile.\nAny piece that moves into it get's stuck for 2 turns.","Coloca una trampa de telaraña en una casilla adyacente.\nCualquier pieza que entre queda atrapada por 2 turnos."
CARD_POISON_POTION_TITLE,Poison Potion,Poción de Veneno
CARD_POISON_POTION_DESC,Drink the poison. Take 20 points of damage.,Bebe el veneno. Recibe 20 puntos de daño.
CARD_TWICE_THE_POWER_TITLE,Twice the power,Doble Poder
CARD_TWICE_THE_POWER_DESC,For the next two turns deals twice as much damage.,Durante los próximos dos turnos inflige el doble de daño.
